PayingCompany,HouseBank,Account,PaymentMethod,CheckNo
HAac,agHsl,714868531,Cash,7985871
MtWo,LixGO,429514737,Wire Transfer,1906480
LEvY,aayvN,186042955,Cash,3348494
xSSz,pJTbA,577996894,Cash,3480994
bJhe,igwQD,681407309,Wire Transfer,1065032
TDhB,qaLIe,843988116,Wire Transfer,8898377
CSrr,uzgwl,785463156,Wire Transfer,7063215
Bovw,pVeJJ,216756184,Wire Transfer,4091017
QflN,aQstO,702287268,Wire Transfer,3047523
MKHe,KvpxI,405726111,Wire Transfer,7506658
HgMS,WzROs,275769664,Wire Transfer,5038184
McYD,EzmDh,631596880,Wire Transfer,6414666
QDoI,phsjs,629790822,Wire Transfer,7687198
RqgL,kzgrj,520034228,Check,0115986
cVbS,sgsBT,577312767,Wire Transfer,9846103
atJC,EuoXw,595841183,Cash,9192196
Sebb,yNtvm,775000896,Wire Transfer,4096168
ydRc,nTUlF,842853260,Check,7284123
sXWr,yeykN,040091005,Cash,7150734
TQPH,IPYRK,680871998,Cash,6337892
JJbf,QLqJE,016810971,Check,4419479
qFtN,bJgyC,999127406,Wire Transfer,3282342
TqvX,ybpPC,189114048,Check,7704519
EMtQ,uPBEE,828483025,Check,3402209
aBZx,owQXk,049683070,Cash,3585770
NSYa,JFTfc,272809625,Cash,1628249
LrSO,hsXlV,651867719,Wire Transfer,7005794
nPND,dHUPx,577593362,Check,2927794
VzaF,Jfguu,801867026,Wire Transfer,7215539
xAYD,ztwoE,071017053,Check,4090456
ilhe,dknar,713306171,Cash,9787355
lchm,IKyfj,079910413,Wire Transfer,7405026
DGVg,uYELF,545440573,Check,5707069
OLdV,NAFxj,560826600,Cash,8597636
oElh,OPKhM,698582263,Check,4951384
noZl,tNhoj,590294917,Wire Transfer,8811310
wFxs,ySUVe,752069112,Wire Transfer,9576119
VYbk,WGVBN,803376790,Check,6451445
SiWd,iFitx,584363455,Wire Transfer,0609410
xHrp,hRUiI,490086666,Cash,1031322
kXNb,wgXqm,570205405,Cash,6643974
vSkm,oevLS,101729625,Check,9194962
dmPj,VYqpn,110615602,Check,2024101
qDsV,SINuM,514397566,Cash,4549823
gJOG,SBDUl,944873037,Cash,9346571
Mojv,CWTcI,825533043,Cash,8497977
RIGT,mRmUz,132301686,Check,8781352
dgYa,uPbJT,948449977,Check,2623954
dwWF,tuNLp,070607371,Cash,5484733
AbyD,mZhFZ,448274667,Check,6923359
eNjT,mJOAK,744825212,Cash,0567558
OJdW,vxHhg,197310303,Check,1771464
wVXp,JfmAx,521590206,Check,4823921
DOiq,JWXPR,486670041,Wire Transfer,1738217
rLMY,KAqWm,373676919,Check,6112221
FEXh,bVrxd,765734758,Check,5403740
GpdS,dhKkH,838879321,Cash,6182378
brAg,OWuUe,726654918,Check,4425994
wpSm,oOMGy,908195853,Check,0612418
Xauf,xGeDv,419298518,Check,6801523
jcLe,LcgYX,245112070,Wire Transfer,0599803
iCnl,HxcLf,029019098,Check,5565045
xobO,MgDGP,206077075,Wire Transfer,6937941
FiXL,JBHWV,934780124,Wire Transfer,8608368
UiID,WlzxG,039125467,Check,1370924
dPzY,hMHEg,563538668,Check,3684571
wboO,sebEv,036028616,Check,3969237
bSnu,hFrsl,136868362,Check,8178127
dTgd,LyoSU,798444433,Cash,8897510
eDzB,luDbo,219852161,Cash,1558834
AIPr,DAGuB,097645688,Wire Transfer,3565522
dJZr,jqrwn,046820511,Cash,8169244
MEak,yJzGs,237137992,Wire Transfer,5339392
HFSU,bkDxL,950171223,Check,6078646
HFef,osIej,437383473,Cash,4584130
UVoC,nWXFC,885196028,Wire Transfer,5802414
HvPx,LCeqX,716661752,Cash,0771800
CkKo,rzdWE,771881034,Wire Transfer,4752674
xQsr,Eddyp,858861257,Check,1342943
Teio,lBCdD,454401929,Cash,6985559
UGyJ,OlSQF,537584047,Cash,1115738
OhvF,RJbhx,048926387,Wire Transfer,1490048
jCkw,wxdat,298592548,Cash,0016056
vZeU,gIBUm,916315031,Wire Transfer,7630821
gtpP,juBwI,596863403,Cash,8980541
vUPr,zeJqK,230234660,Cash,0964780
LYIe,rrDHZ,410324599,Check,9019636
qcEa,YJQKz,299268566,Cash,1387725
TapU,JrQPt,891710602,Cash,2610094
mqzo,gWOQe,909126172,Check,5933446
CAXO,wWCsD,690876603,Check,5923008
DAUV,zQSqd,623169874,Cash,3864404
gomb,DJWJW,584767557,Cash,2690662
dVRZ,KsOZw,154472400,Wire Transfer,8253892
XIII,aSLfw,858826463,Check,6161458
nmkO,RmHti,906502761,Check,1636707
wRVM,oQhmI,126906057,Check,6200450
TKBx,YdYkf,207640478,Check,0097064
SdYI,FkAQz,524698043,Cash,3401313
qMNl,GbGUV,161634283,Check,3304603
uEVT,DHZJW,323708118,Wire Transfer,1625767
DGSK,JBQRF,275173830,Check,0300238
vyGN,TGIFg,925550238,Check,5296326
YbSC,lasNG,809421178,Cash,0739576
CyFg,UBeKU,243019578,Cash,6225103
JjZs,RETHx,967911441,Wire Transfer,3302989
iQDU,ajkkG,136125115,Wire Transfer,8674680
ZocK,RLQaM,463354745,Wire Transfer,0586550
WMdf,lQOnj,676262472,Wire Transfer,3652124
Akuf,DgnBu,468667272,Cash,6299045
qEUk,VrPBB,971632757,Wire Transfer,0203752
EHGb,SGJNu,462207765,Cash,0324705
yCce,ZJKhu,251522069,Cash,3787100
HKGx,TLQDN,172919815,Check,2183250
Pbpu,BdEgQ,472174230,Check,9606684
fNNF,iyiAa,415813639,Wire Transfer,2861706
RSgH,hPGAm,373469002,Cash,6518195
srQt,ljauq,416123020,Wire Transfer,6280361
przt,yTfsb,699832630,Wire Transfer,4273957
XkjO,ZdZjz,230971985,Cash,5684778
ajpJ,IwjuE,542420293,Check,5697933
vTOo,FKRJF,836367476,Wire Transfer,4265050
ckIC,lIvDa,931224811,Wire Transfer,3279068
fQvp,eKgjF,381686380,Check,7870092
PFjx,LfgRj,907997371,Cash,9485121
pmkL,QSbFP,542138030,Wire Transfer,7413699
ZsTC,tNSoV,276505739,Cash,6088642
CMdu,iiqMc,957847687,Check,1495628
wVTf,xQIZC,810465962,Wire Transfer,9317624
GJog,pKwGx,522174170,Wire Transfer,3007523
qWBB,TopQZ,783675861,Check,0537250
WkBZ,uEbbT,890013758,Check,8822072
SiSJ,toJXO,110213031,Wire Transfer,0865236
vUmb,jhNdM,937766484,Cash,3469124
ERiK,OuTVV,771765194,Check,9372382
gdPa,YwxJT,999635682,Cash,7177450
YkSX,rcUEn,164922282,Check,7520791
iZys,sisfU,183111218,Check,9560753
SSpJ,CLJrV,312367007,Cash,9888802
ciKh,aTtQS,131352071,Cash,4582745
RvDI,bYQlD,444839363,Check,2045508
czUC,FXeDe,883786065,Wire Transfer,9549917
TyPf,TefzV,882041963,Check,8736817
Nklc,SkzPO,196804905,Cash,6704746
vgsq,JRpXm,277995660,Check,3307578
wjdG,jpQYo,322823005,Cash,0578693
ULoI,uCcKG,432918591,Cash,3474642
XqFV,KSMBL,077004317,Wire Transfer,4762832
TKRI,oDRyl,386216793,Wire Transfer,5247415
KRMk,tmDtT,510642227,Cash,6131560
WEFh,HkvUF,371530664,Cash,3994763
wwFN,AzmIj,794951640,Wire Transfer,9549238
asev,QwCzM,044761455,Wire Transfer,4933414
Vmce,ykGdr,318744027,Check,3739770
UgKp,vcUgF,018026864,Wire Transfer,5541966
GlvV,YixjV,233056411,Wire Transfer,3768292
YraJ,CatVA,976401243,Wire Transfer,3096631
SkNP,ZMwfp,616647368,Wire Transfer,6988945
RTzM,olWjc,560146308,Check,1831043
NUJS,lQiNE,511635869,Check,6904109
wQeN,JYSGb,394446395,Check,4479846
LKfs,BoQLw,199122713,Check,3140905
mrwe,cKJYy,141809736,Check,6621249
EJLH,sPaqs,525213523,Cash,8521817
HCYI,syWwQ,816308933,Check,8196840
iUOs,LCAMW,893449625,Wire Transfer,2798167
GmTR,UDtfQ,747238320,Cash,4122806
bIqf,rtcSA,087129274,Cash,5125943
FBtV,VjkRa,242470972,Wire Transfer,4739648
WAxG,nMUUq,714343625,Wire Transfer,5616644
gOEX,VXBPM,232662541,Cash,1057864
BvPu,jxmGW,167155092,Check,1161288
AaxN,CjcNd,263856153,Cash,4561802
aOTM,aPveb,020830104,Cash,0357007
DDnO,uMKIE,288982695,Wire Transfer,5662618
zRoT,qxmhV,530652438,Check,8112807
VvvC,DBvGb,715271338,Wire Transfer,9543086
TYLQ,UUDqS,711894329,Wire Transfer,8783424
ulaQ,SUsfP,699174485,Check,3667290
trVh,IqbsU,032787938,Check,7569486
DMrK,hRgQv,687683928,Cash,5820457
awTT,PtDwd,824157673,Wire Transfer,7977790
VgJC,PWEqb,519279363,Wire Transfer,7830547
rbfs,XNOEz,742281590,Cash,4536753
mEoc,OaFTW,770704338,Wire Transfer,2153743
LolN,qHLeq,834869293,Check,1223794
kVjW,XuDKK,987504432,Wire Transfer,1808841
eJsF,DXElE,233607286,Check,9290574
ZhMV,NtuQn,253762913,Check,5002364
cBEv,eJTqp,962236006,Wire Transfer,6568340
WIoA,jYsWk,155100830,Cash,7985924
sKRx,kADAh,507767777,Wire Transfer,6297294
oicM,vuzDZ,173924972,Check,0449683
HQEK,UqVoA,179277202,Check,4228296
CBPI,BPmtT,293943106,Wire Transfer,2994230
tppf,xyfDE,655183931,Wire Transfer,6936617
qceD,zlkIY,817343988,Wire Transfer,7875177
wfQg,oJKJP,064253954,Check,4157592
hPMa,aFSoX,620001686,Check,5423475
TUOn,LPHaa,175197639,Wire Transfer,7381524
RUqX,Gmkze,756556815,Cash,2050878
VAuP,Mevpq,548398957,Check,3631839
CeSm,UXfWv,095149180,Check,8465910
QMYv,KXlFt,422549857,Check,2111490
puYm,lltsp,408733549,Cash,3742204
dEsr,dJHZw,490045753,Cash,2869422
wZaF,uCcYW,601937742,Wire Transfer,9691151
YulS,YLvNu,213850729,Wire Transfer,3060323
BzhC,vCwMm,185523046,Wire Transfer,9499384
bRhH,gpTso,090144094,Wire Transfer,7870425
btwc,soPvN,118398152,Cash,0386066
Kbfz,jyAhv,962572605,Check,2436625
pZFe,YAryd,222836863,Check,8582792
lmAO,hXSxI,298965333,Cash,2626210
qgWP,uDmdy,031718215,Check,3665257
DTtL,vMshh,149751515,Check,4419840
DJXk,dBESK,180470033,Check,2942149
jVNI,aOfke,336732533,Check,9217215
wXBz,QEYwW,518741040,Cash,0157502
leTM,nNxOI,758489738,Wire Transfer,6119779
qalz,hQSfa,696263404,Wire Transfer,3993866
jTAc,AKRqS,496017787,Check,3814937
EmFo,ezDhN,947707235,Wire Transfer,4546163
ptOO,PSMOc,811023017,Wire Transfer,8679046
Twbk,ZFMZc,158593882,Check,1744016
idpJ,JbBlB,445047057,Cash,7067407
FHFH,pqGVe,195482745,Wire Transfer,7506735
enLM,RtEmB,662976356,Check,5161468
iPWF,cGiCv,058810962,Wire Transfer,6620736
ZLlJ,eBrgW,242007234,Wire Transfer,1332420
nbKQ,jiyax,830080935,Cash,5175805
UTbe,GnZbm,306922722,Check,4832824
eZHs,fBjwA,145489091,Check,6153588
zBJd,nVKtN,910246976,Cash,4320853
BURe,LqPuE,054891648,Wire Transfer,7569344
fqhg,EdudO,530466201,Wire Transfer,7179559
OGcx,ChYDk,269750111,Check,8322820
clPM,mnMdQ,750156772,Check,4651213
VHQn,TDppw,243924279,Wire Transfer,6806637
xvUf,EVhlP,033117642,Wire Transfer,3717797
evIi,YnDQc,575982424,Check,7009895
lwrM,KqlVS,285817827,Cash,5144353
LfSn,ZRGnW,264218658,Check,1145789
FczX,YOzKp,217047559,Check,7888811
GACz,Nhbve,474611646,Cash,3846416
haNa,LkkZa,228315441,Cash,6610057
SlAh,mfddv,487696318,Wire Transfer,3891651
HyCZ,JYLSb,418907756,Wire Transfer,7167945
vCsB,kDCKm,089775162,Wire Transfer,2545915
Dppe,UMIYO,798534660,Check,9601238
oBtE,ZNqZe,509164619,Cash,4405944
nptB,rWMid,458048567,Wire Transfer,8200850
Izbn,PucOZ,409872429,Wire Transfer,3403619
PcQc,wmrqO,455888488,Check,5867929
cGRS,mNcxk,547321114,Check,5437195
LaaO,AcXJO,210120180,Cash,2334303
LUYJ,iEdQM,136134017,Cash,8704660
JfNm,oEeSE,931682339,Check,9770096
zGzR,AuvtM,644969736,Check,5692899
vhpH,rTAqh,738120423,Check,8575225
oQeA,aNnNP,755835846,Check,5518128
bVBO,UurDi,600398850,Wire Transfer,1790387
cnSS,mNwEy,844118654,Check,3470844
gAvl,bBNDl,497451336,Check,5351795
bbcb,ynJGs,852054367,Cash,1539307
QCSU,NORvy,108032002,Cash,3138335
nIln,JveHB,121772018,Cash,1168636
lERC,QNVJH,594049434,Check,5892732
ofgg,KPBHQ,224472873,Check,3732679
XhoL,cDUbu,747190322,Check,1006133
yFkI,UtlwG,366842639,Check,9221694
YoxA,wUjSt,599701164,Wire Transfer,7403135
OEcb,LhDRJ,510632304,Wire Transfer,0422842
rClW,gxomk,130134098,Wire Transfer,7241643
fxHG,OvSFS,387827988,Check,0751755
uOEe,UagGf,959279025,Cash,5297254
vVvC,nWBWN,262761740,Wire Transfer,6604802
xSdl,snlzZ,120351973,Cash,8102237
pjxc,KSatr,463570102,Wire Transfer,8209894
OHwq,TtZVP,309992828,Cash,1009184
rCCX,uimgN,441386128,Cash,5230258
gijM,BjGAc,527722867,Check,4332122
NmEq,tQgcO,329450136,Check,8357809
DZke,zLfmT,890938092,Check,2657733
Wdcn,qXYEY,287252812,Wire Transfer,0899491
XkRs,UNhrO,134463003,Wire Transfer,0373694
MFNE,SQvdU,702105985,Wire Transfer,8677730
kCAw,UKfuj,051481391,Wire Transfer,6433834
zNDM,VkzWZ,483658030,Wire Transfer,0846326
eSRc,rSbGM,666489737,Cash,5020742
xeYM,WPaye,360850678,Check,0594597
TCdR,nRDia,954162867,Check,2476591
jXqu,avaCG,788078390,Check,4667294
gsIk,uhXmr,782862294,Check,9791545
gQnj,WBjMV,023226496,Check,8659643
AFyQ,oTbod,489453096,Wire Transfer,0125951
fFCq,dslki,293666965,Wire Transfer,1481798
sguz,aKOvw,635081753,Wire Transfer,3508892
akeh,wrkpz,506686469,Wire Transfer,6077343
YzKL,mARba,325847191,Cash,5872700
tIih,HkDTY,407577769,Cash,5099956
VpTO,VTqjD,713996871,Check,8271092
mwBi,OUncX,994871147,Wire Transfer,6205128
uHaf,owtEa,274491278,Cash,0011168
hmAu,rrEFM,899897649,Cash,7755564
BDup,KgNir,136793942,Wire Transfer,8924028
hsbW,IeDWi,789544451,Wire Transfer,6530358
YKop,CIQNG,219703615,Wire Transfer,7774013
lwtN,ROoyO,479356357,Check,2996879
mdEw,jFMgt,744292165,Check,2760500
INnH,hUBrL,022973586,Check,3205852
EOKO,KoOUq,831853710,Check,9035206
Ohzq,wSQju,288648503,Cash,2488945
puPC,fuzPF,689181732,Wire Transfer,4410213
fBal,fWYcK,069111010,Wire Transfer,4280862
NApH,mqOKu,551572998,Check,7820134
AQUU,wRElv,335319632,Wire Transfer,8627333
xMwb,nrLYG,005645005,Check,0685008
teCY,kiHMq,628597602,Cash,5203147
ccXV,ZfwiN,555223351,Wire Transfer,4815996
Vtjp,byKKV,748238901,Cash,9147427
BsOM,iFxCJ,386539083,Cash,0853512
oVyi,PChYi,965113093,Cash,1254066
adxo,kEZCo,019760158,Wire Transfer,5299581
tYrr,TpltF,461929524,Wire Transfer,9648965
eFOd,xCdyh,053196128,Check,1123840
CeEa,bQfnk,029831222,Wire Transfer,4669466
ENSh,slePk,493244185,Cash,2885499
NvsE,ZhaGw,407721396,Check,6585176
xHfH,yoUAb,492864313,Check,8685412
HSzu,yzRmx,437994512,Cash,1968311
FoUs,lUBYo,176502497,Check,8347575
UQGn,BZtWV,139333169,Check,3436204
oZsX,ppljV,995631424,Check,0337818
DfBn,xfXFM,084422496,Wire Transfer,8497936
xfWm,moYtP,692898255,Wire Transfer,3341762
smNc,PxWoI,118932078,Wire Transfer,8420175
aCcy,sYhgP,142165332,Wire Transfer,9146971
IsFd,kSAtP,404314675,Cash,7997357
Uibr,bQiQn,130952491,Wire Transfer,4296014
PmAb,Adnfm,799096341,Wire Transfer,4163365
zjeM,syRIE,405268836,Cash,3707102
gJYP,nKpzX,518840551,Check,4562548
iTPy,aJTgX,979228585,Wire Transfer,4838625
EVUL,TvRcw,168307086,Check,5589589
wpXn,egNBD,914888719,Cash,9703173
zWAD,KEKNE,765116543,Cash,9491540
Xvpk,QtBWG,088753263,Wire Transfer,1032119
CiuD,fsyVW,787784136,Check,8577823
jFvY,aIjbo,483651153,Cash,3866085
ZpzS,rmmYV,403335014,Check,0598882
jXXd,KBnit,071172510,Wire Transfer,7784664
fMhj,dqdIo,898789409,Cash,1078806
AlUB,XvaFt,456342385,Cash,1412948
XrUa,JwBSt,312338812,Wire Transfer,8534754
bYAg,dKKbR,379424304,Cash,6990314
BiFB,yJoNP,126296689,Check,7638132
FvBd,yxiJy,910082785,Wire Transfer,0339061
lbfN,kLrcF,969053895,Cash,6507076
cfZC,mlaPA,815143006,Cash,7280648
GptS,PcGjA,484529797,Cash,1129025
gaVo,mweqj,288748611,Wire Transfer,1886562
Vdkh,QNqEE,304242969,Cash,4811048
Jgom,KAbls,744464834,Wire Transfer,3702729
bHSY,DVcQG,363010768,Check,6976177
zEVh,iScUQ,214703522,Check,1601665
xIyd,oYeCZ,211808868,Cash,1226165
GuKp,eIYov,318883419,Cash,0736434
LNmT,Bglkh,560502545,Cash,8470916
tBKP,uFroV,029749461,Wire Transfer,9534581
beBP,DrVVp,897531353,Wire Transfer,8788115
USeC,uEptC,779570090,Cash,4676879
tCvr,TSzhV,194883043,Check,8082999
xTly,SANGO,062701681,Cash,1712066
TOye,npBFd,538878585,Check,2210661
KjHb,dpnvn,174242985,Check,8370468
HvJM,QoUIL,420981427,Cash,1771433
Lceq,TIpCA,007590208,Wire Transfer,9661317
mvPL,hNMGV,514961585,Check,0603002
RaOB,ZVByp,754699566,Check,6035177
ZcAg,FsaQH,034159880,Wire Transfer,6927914
SZAp,oAhys,048653068,Check,8459673
zjRo,dZqXZ,043853222,Wire Transfer,7636298
SfMZ,sylHk,473369632,Wire Transfer,5123166
QaXo,vKQEs,981118150,Check,4819150
QdzH,azfUJ,795897112,Wire Transfer,7970099
QoFR,PXlpZ,434599856,Check,9641306
lkvA,ZrYQn,789873504,Check,6891328
vbSi,iRefI,348384625,Check,8958971
EIBj,gUWyJ,248633283,Wire Transfer,6798101
XvRe,ThxEo,462405895,Check,2167163
uVYs,sIOMa,130179771,Check,0735547
Nwxg,XwpLM,681774239,Check,9490734
Xrwi,kWzPx,715879239,Check,9290932
TKDb,SjCPq,640447533,Cash,3750608
wqgx,DkWoN,620596791,Cash,2814560
BQIj,kfBAb,950865126,Check,8449309
yeah,JimdY,281109320,Wire Transfer,8516524
FSoZ,ojLuL,772055297,Cash,2916068
Elgd,hfyVs,248684349,Wire Transfer,9662273
Lkuq,QicSM,834452415,Wire Transfer,0890723
