VendorNo,BankCountry,BankKey,BankAcc
80121,NIC,751353,60956292
87299,DOM,114675,28777858
59840,USA,814173,98557406
59840,TZA,686245,00109569
41654,FLK,161300,36709496
68408,HND,008274,70809609
68408,BTN,854905,51502982
72293,TTO,281263,78328450
995,KIR,678447,37153652
995,BGR,009130,95741893
38069,MEX,895319,66245458
4728,KAZ,907616,14195492
4728,PRK,370045,66191486
92917,KNA,800734,46741958
64787,BGR,041562,11840522
64787,TWN,296961,15712932
99642,LTU,704860,26632301
99642,VIR,520999,01839477
67719,BIH,141364,07239934
70293,LBY,413357,85641995
44771,NGA,057389,83931650
44771,SOM,585631,34193628
21571,GGY,972476,50551846
21571,KHM,352120,50179564
84052,ERI,802313,18348389
84052,KIR,921490,74281775
48017,AND,306056,76641729
191,VCT,763688,33721977
45156,SMR,398265,79202775
45156,MEX,775734,89624093
36073,ITA,035811,28898324
36073,ESP,057801,31547958
56272,MAC,128993,77752310
43091,IRL,195121,04888870
64602,SRB,810577,54391904
64904,ARG,067023,65104705
64904,LBY,294372,04752766
18908,CHL,191096,10509952
46215,BEL,703819,94257284
46215,BLZ,499475,87214862
37176,YEM,016326,67223296
37176,AND,788024,73400507
8278,IRN,817945,28317914
35587,BLZ,499631,24406699
35587,BLR,488855,33078484
85627,SUR,875760,74958240
85627,BLZ,494830,36564136
69282,KIR,817424,15797358
74754,MOZ,229861,88207107
16150,LVA,653760,30160696
20929,CIV,983925,77240439
20929,BIH,671454,46742504
39666,MNG,214119,90329110
39666,BHS,452678,29168534
15025,AZE,279233,61579785
15025,PCN,049942,87388186
71788,AIA,839225,25398533
71788,SGP,170218,49754491
25894,TZA,982516,76118045
25894,TUR,289962,35343519
41279,QAT,448073,11047207
37298,CYM,497868,42272868
96910,GIB,898850,89343046
96910,CUW,729325,27320324
41077,NPL,673320,28776628
41077,SUR,008751,80864090
69133,SLB,267946,11294930
3427,SEN,335547,85875231
3427,BES,907576,33068166
55795,WSM,093944,33368412
55795,MNG,668941,33823592
59337,BDI,308618,96781866
26703,PSE,675856,20906306
26703,VIR,937282,73654648
76874,SJM,994260,77258224
7576,NFK,471721,37056291
7576,ATF,812084,78293118
67350,BFA,653453,04789354
86422,SAU,548201,27678092
86422,ISR,087088,77782352
19095,MYT,768154,49973007
13870,COL,666003,40041743
13870,MNP,114067,10425688
50408,PRY,049226,08399528
3971,BGR,510248,99980749
3971,UKR,201185,12773279
90832,SEN,461932,29631065
90832,ISR,931777,25960647
32410,CHN,862945,30864002
32410,MNG,855895,48320274
79049,LIE,552856,06878000
58758,JOR,980565,54712582
58758,NGA,556927,06210231
18092,PAK,549566,81887215
18092,LCA,471040,64343378
24657,COM,680278,45838753
61714,CAN,273105,93060869
69813,CRI,428745,24187371
44520,GAB,292374,69488192
44520,OMN,364320,88247350
69839,GRD,871975,82028991
75117,REU,906866,12688337
75117,ERI,465192,63984828
94397,FRO,737330,63937631
94397,CAF,856112,52433688
74624,GUY,758365,53802073
72733,GEO,645519,96452835
72733,AZE,310385,27064591
1054,GIB,885728,38673612
26174,BOL,749602,88745087
26174,NOR,632729,88738153
94392,ITA,509349,47747368
94392,GGY,173598,73606101
27834,ASM,756450,78349557
5473,LKA,511332,04385342
5473,GRL,255868,13773138
26597,ITA,175336,73479143
16830,ATF,962286,11670373
16830,GAB,184423,56004597
62784,VNM,772895,09384543
62784,ARE,598145,10413396
23950,SSD,685525,39264663
17922,KNA,552515,29510039
29785,TZA,699831,40316560
29785,BVT,509631,36374120
84759,HMD,184392,32834521
80652,GAB,277855,52834644
66903,JOR,885135,57477250
9625,LBR,818593,68008160
6449,ARE,941919,19062972
32583,SXM,990478,13138564
32583,ITA,405381,96218523
12659,NCL,983102,02944856
12659,ETH,843691,87528086
52721,ARG,097202,97852525
52721,ITA,076339,87181336
57942,VIR,426230,23155426
57942,NFK,612392,17385836
54390,SLV,340246,13230783
54390,LKA,620825,76039029
91931,PRK,325078,87105792
73236,BIH,386586,92522958
73236,ETH,999360,33335040
39275,PRT,913427,84856096
80012,GMB,155249,06077979
80012,ABW,237044,53509659
8039,ZMB,959428,24882140
8039,GLP,635820,74041341
74016,MAC,453360,42440338
74016,MAR,571811,20311343
75164,KGZ,054550,80866418
79199,ATG,066430,91123519
9869,ALA,759613,74142027
9869,TKM,670792,10342842
43208,HKG,125509,03529238
40804,CAF,010629,80363075
97685,COG,534570,41559973
77460,BHR,679649,11168980
73426,ATA,215823,91341280
8125,ESP,156319,29590602
89981,EST,948105,78959080
54093,SJM,402067,49231304
54093,BMU,255100,10776716
73994,BRA,079502,39558909
61458,AFG,525539,54462061
61458,ZWE,030945,65661206
64271,ERI,463830,52802337
67579,CHE,495154,43786943
67579,NAM,997889,50716900
57980,MAR,534020,81825775
42212,TWN,067194,22990755
42212,SJM,614494,83715882
38767,FRO,601347,73235005
38767,DJI,311042,38248075
